name,address,lat,lon,charging_availability_id,total_connectors,available_connectors,occupied_connectors,reserved_connectors,unknown_connectors,out_of_service_connectors,max_power_kw
Clever,"Kong Georgs Vej 69, 2000 Frederiksberg",55.68913,12.530219,93cfe675-8329-458b-98c6-10f1dcd7211d,8,5,3,0,0,0,22.0
Clever,"Dronning Olgas Vej 3, 2000 Frederiksberg",55.687426,12.540143,8edc7080-ce71-4725-b3c3-b41c8fdf9d1e,6,2,4,0,0,0,22.0
Clever,"Ane Katrines Vej 2, 2000 Frederiksberg",55.691008,12.535414,7937ae06-7770-4c57-96b3-f6dbf910ab6a,8,5,3,0,0,0,11.0
Clever,"Nitivej 10, 2000 Frederiksberg",55.69163,12.534013,1aec3794-e3ab-89bc-a96c-accc9484daf7,10,7,3,0,0,0,22.0
Clever,"Priorvej 1, 2000 Frederiksberg",55.692284,12.533154,a03719ef-2bca-4afd-ad86-5860f1354c42,8,4,4,0,0,0,22.0
OK,"Ane Katrines Vej 34, 2000 Frederiksberg",55.692711,12.534551,1ef34f27-0d74-8d5f-9708-1c811e4b1b61,6,4,1,0,0,1,40.0
OK,"Nordre Fasanvej 175, 2000 Frederiksberg",55.693445,12.532599,fe1e8357-82b6-4270-a9ff-ea46c181b940,2,2,0,0,0,0,75.0
Clever,"Kristian Zahrtmanns Plads 81, 2000 Frederiksberg",55.692552,12.526135,7c5ced4e-bff5-432c-a708-43b4dd01865a,4,1,3,0,0,0,22.0
EDF Danmark A/S,"Munkensvej 1, 2000 Frederiksberg",55.693573,12.534029,5fac8bc5-2bc8-4ec9-aa4f-63ddcecc2d25,8,6,2,0,0,0,22.0
EDF Danmark A/S,"Munkensvej 1, 2000 Frederiksberg",55.693573,12.534029,33f87206-b4d6-8baf-b77f-9e576ab2c885,6,3,3,0,0,0,22.0
Norlys,"Ternevej 17, 2000 Frederiksberg",55.69409,12.5242,1d1785e2-af39-41f6-9fd6-372a18311fb1,4,3,1,0,0,0,22.0
Clever,"Drosselvej 81, 2000 Frederiksberg",55.694647,12.528648,49a321b7-3fc4-40d0-a5e5-ea6e9d541138,6,2,4,0,0,0,22.0
Norlys,"Borups Alle 126A, 2000 Frederiksberg",55.695125,12.532193,0a8ead70-aa94-888d-aad4-6554aeb097c5,4,3,1,0,0,0,300.0
E.ON Drive,"Hillerødgade 27, 2200 Frederiksberg",55.696727,12.537085,5cbb3caf-fde9-4ac8-8615-9bdac02cf056,6,5,1,0,0,0,22.0
